Who,who_id,Associated With,associated_id
Uhuru Kenyatta,https://unmasked.nation.africa/people/uhuru-kenyatta,Jubilee Party,https://unmasked.nation.africa/organisations/jubilee-party
David Murathe,https://unmasked.nation.africa/people/david-murathe,Jubilee Party,https://unmasked.nation.africa/organisations/jubilee-party
